,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6195,2021-03-31,shot,gun,35,M,White,Independence,MO,False,attack,Not fleeing,False,-94.449,39.1,True,30-44,armed,gun,gun,1,3,2021,1,"Independence, MO"
6196,2021-03-31,shot,knife,27,M,Hispanic,Visalia,CA,False,attack,Not fleeing,False,-119.301,36.341,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Visalia, CA"
6197,2021-03-31,shot,gun,22,M,Hispanic,Chicago,IL,False,other,Foot,False,-87.757,41.944,True,18-29,armed,gun,gun,1,3,2021,1,"Chicago, IL"
6198,2021-03-31,shot,gun,60,M,White,Barstow,CA,False,attack,Not fleeing,False,,,True,45-59,armed,gun,gun,1,3,2021,1,"Barstow, CA"
6199,2021-03-31,tasered and shot,gun,57,M,Black,DeKalb County,GA,False,other,Other,False,-84.119,33.723,True,45-59,armed,gun,gun,1,3,2021,1,"DeKalb County, GA"
6200,2021-04-01,shot,toy weapon,35,M,White,Lakewood,CO,False,other,Foot,False,-105.116,39.682,True,30-44,unarmed,unarmed,toy weapon,1,4,2021,2,"Lakewood, CO"
6201,2021-04-01,shot,knife,47,M,White,Brighton,IL,True,attack,Not fleeing,False,-90.142,39.04,True,45-59,armed,other weapon,knife/cutting instrument,1,4,2021,2,"Brighton, IL"
6202,2021-04-01,shot,gun,25,M,Black,Rock Island,IL,False,other,Other,False,-90.582,41.48,True,18-29,armed,gun,gun,1,4,2021,2,"Rock Island, IL"
6203,2021-04-01,shot,gun,36,M,Black,Fremont,CA,False,attack,Foot,True,-121.94,37.482,True,30-44,armed,gun,gun,1,4,2021,2,"Fremont, CA"
6204,2021-04-02,shot,undetermined,33,M,None,Corona,CA,False,undetermined,Not fleeing,False,-117.588,33.877,True,30-44,undetermined,undetermined,undetermined,1,4,2021,2,"Corona, CA"
6205,2021-04-02,shot,gun,37,M,None,Hurdle Mills,NC,False,attack,Not fleeing,False,-79.013,36.291,True,30-44,armed,gun,gun,1,4,2021,2,"Hurdle Mills, NC"
6206,2021-04-02,shot,gun,22,M,White,Salem,OR,True,other,Not fleeing,False,-123.046,44.902,True,18-29,armed,gun,gun,1,4,2021,2,"Salem, OR"
6207,2021-04-02,shot,gun,33,F,None,Long Beach,CA,True,attack,Not fleeing,True,-118.202,33.808,True,30-44,armed,gun,gun,1,4,2021,2,"Long Beach, CA"
6208,2021-04-02,shot,knife and vehicle,25,M,Black,Washington,DC,True,attack,Not fleeing,False,-77.007,38.892,True,18-29,armed,other weapon,knife/cutting instrument,1,4,2021,2,"Washington, DC"
6209,2021-04-03,shot,gun,23,M,White,Douglas County,CO,False,attack,Not fleeing,True,-104.87,39.452,True,18-29,armed,gun,gun,1,4,2021,2,"Douglas County, CO"
6210,2021-04-03,shot,undetermined,40,M,Hispanic,Moreno Valley,CA,False,other,Not fleeing,False,-117.215,33.888,True,30-44,undetermined,undetermined,undetermined,1,4,2021,2,"Moreno Valley, CA"
6211,2021-04-03,shot,gun,26,M,None,Phoenix,AZ,False,attack,Foot,False,-112.221,33.495,True,18-29,armed,gun,gun,1,4,2021,2,"Phoenix, AZ"
6212,2021-04-03,shot,knife,32,M,White,Corvallis,OR,False,other,Not fleeing,True,-123.26,44.576,True,30-44,armed,other weapon,knife/cutting instrument,1,4,2021,2,"Corvallis, OR"
6213,2021-04-03,shot,undetermined,21,M,Hispanic,New York,NY,False,undetermined,Not fleeing,False,-73.914,40.83,True,18-29,undetermined,undetermined,undetermined,1,4,2021,2,"New York, NY"
